Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Total,"308,745,538","151,781,326","156,964,212","308,758,105","151,788,777","156,969,328","309,338,421","152,082,993","157,255,428","311,644,280","153,242,210","158,402,070","313,993,272","154,452,348","159,540,924","316,234,505","155,596,820","160,637,685","160,637,685","318,622,525","156,807,419","161,815,106","321,039,839","158,048,153","162,991,686","323,405,935","159,243,817","164,162,118","325,719,178","160,408,119","165,311,059"
45,"4,508,868","2,237,450","2,271,418","4,509,044","2,237,564","2,271,480","4,438,446","2,201,818","2,236,628","4,173,540","2,070,141","2,103,399","4,087,295","2,024,634","2,062,661","4,074,594","2,022,890","2,051,704","2,051,704","4,155,383","2,063,514","2,091,869","4,381,059","2,178,400","2,202,659","4,324,551","2,140,344","2,184,207","4,091,579","2,025,025","2,066,554"
46,"4,519,761","2,230,982","2,288,779","4,519,941","2,231,099","2,288,842","4,529,607","2,238,713","2,290,894","4,431,746","2,196,534","2,235,212","4,168,182","2,066,029","2,102,153","4,081,816","2,020,319","2,061,497","2,061,497","4,070,035","2,018,879","2,051,156","4,151,692","2,060,018","2,091,674","4,376,488","2,174,282","2,202,206","4,320,583","2,136,737","2,183,846"
47,"4,535,265","2,238,248","2,297,017","4,535,450","2,238,371","2,297,079","4,535,360","2,237,874","2,297,486","4,520,780","2,232,269","2,288,511","4,424,250","2,191,112","2,233,138","4,161,224","2,060,767","2,100,457","2,100,457","4,076,200","2,015,874","2,060,326","4,065,383","2,014,948","2,050,435","4,146,627","2,055,816","2,090,811","4,370,964","2,169,762","2,201,202"
48,"4,538,796","2,237,734","2,301,062","4,538,968","2,237,859","2,301,109","4,534,558","2,235,241","2,299,317","4,524,448","2,230,114","2,294,334","4,511,059","2,225,362","2,285,697","4,414,834","2,184,297","2,230,537","2,230,537","4,153,395","2,055,000","2,098,395","4,069,724","2,010,994","2,058,730","4,058,776","2,009,855","2,048,921","4,140,010","2,050,739","2,089,271"
49,"4,605,901","2,264,671","2,341,230","4,606,060","2,264,793","2,341,267","4,598,974","2,262,390","2,336,584","4,521,744","2,226,407","2,295,337","4,512,793","2,222,105","2,290,688","4,499,442","2,217,307","2,282,135","2,282,135","4,404,466","2,176,992","2,227,474","4,144,843","2,048,844","2,095,999","4,061,192","2,004,734","2,056,458","4,050,722","2,003,912","2,046,810"
50,"4,660,295","2,300,354","2,359,941","4,660,457","2,300,471","2,359,986","4,646,111","2,290,808","2,355,303","4,584,099","2,252,366","2,331,733","4,508,304","2,217,331","2,290,973","4,498,950","2,212,636","2,286,314","2,286,314","4,486,472","2,208,500","2,277,972","4,392,884","2,169,038","2,223,846","4,133,931","2,041,063","2,092,868","4,051,078","1,997,485","2,053,593"
51,"4,464,631","2,190,766","2,273,865","4,464,779","2,190,860","2,273,919","4,498,875","2,209,728","2,289,147","4,629,595","2,279,691","2,349,904","4,568,158","2,241,563","2,326,595","4,491,995","2,206,442","2,285,553","2,285,553","4,483,424","2,202,299","2,281,125","4,472,068","2,198,785","2,273,283","4,378,704","2,159,311","2,219,393","4,121,394","2,032,379","2,089,015"
52,"4,500,846","2,207,246","2,293,600","4,500,963","2,207,331","2,293,632","4,480,498","2,197,104","2,283,394","4,480,792","2,197,729","2,283,063","4,611,354","2,267,633","2,343,721","4,549,602","2,229,419","2,320,183","2,320,183","4,474,669","2,195,087","2,279,582","4,466,906","2,191,433","2,275,473","4,455,485","2,187,753","2,267,732","4,363,205","2,148,966","2,214,239"
53,"4,380,354","2,141,354","2,239,000","4,380,489","2,141,451","2,239,038","4,439,343","2,170,897","2,268,446","4,460,552","2,183,795","2,276,757","4,461,212","2,184,837","2,276,375","4,591,335","2,254,416","2,336,919","2,336,919","4,530,188","2,216,653","2,313,535","4,456,110","2,182,886","2,273,224","4,448,135","2,179,004","2,269,131","4,437,426","2,175,762","2,261,664"
54,"4,291,999","2,093,554","2,198,445","4,292,120","2,093,639","2,198,481","4,288,408","2,091,617","2,196,791","4,417,728","2,156,569","2,261,159","4,439,455","2,169,992","2,269,463","4,439,894","2,170,876","2,269,018","2,269,018","4,569,843","2,240,200","2,329,643","4,509,126","2,202,680","2,306,446","4,435,174","2,168,979","2,266,195","4,427,991","2,165,590","2,262,401"
55,"4,254,709","2,073,473","2,181,236","4,254,809","2,073,546","2,181,263","4,258,899","2,075,165","2,183,734","4,265,476","2,076,505","2,188,971","4,394,770","2,141,521","2,253,249","4,415,993","2,154,656","2,261,337","2,261,337","4,416,633","2,155,610","2,261,023","4,546,665","2,224,902","2,321,763","4,485,896","2,187,371","2,298,525","4,413,266","2,154,452","2,258,814"
