Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Median age (years),37.2,35.8,38.5,37.2,35.8,38.5,37.2,35.9,38.5,37.3,36,38.6,37.5,36.1,38.8,37.6,36.2,38,"4,359,882","2,190,278","2,169,604","4,289,883","2,146,424","2,143,459","4,352,115","2,180,528","2,171,587","4,371,478","2,193,958","2,177,520"
,,,,,,,,,,,,,,,,,,,"4,090,363","2,045,277","2,045,086","4,373,944","2,196,753","2,177,191","4,303,181","2,152,316","2,150,865","4,364,947","2,185,895","2,179,052"
,,,,,,,,,,,,,,,,,,,"4,010,887","2,002,972","2,007,915","4,102,517","2,050,541","2,051,976","4,385,025","2,201,058","2,183,967","4,313,987","2,156,347","2,157,640"
,,,,,,,,,,,,,,,,,,,"3,971,081","1,977,004","1,994,077","4,021,765","2,007,403","2,014,362","4,112,091","2,053,905","2,058,186","4,394,351","2,204,181","2,190,170"
,,,,,,,,,,,,,,,,,,,"3,855,833","1,920,085","1,935,748","3,980,639","1,980,685","1,999,954","4,030,605","2,010,506","2,020,099","4,120,468","2,056,619","2,063,849"
,,,,,,,,,,,,,,,,,,,"3,976,512","1,983,591","1,992,921","3,864,518","1,923,457","1,941,061","3,988,387","1,983,297","2,005,090","4,038,244","2,012,943","2,025,301"
,,,,,,,,,,,,,,,,,,,"3,853,387","1,914,280","1,939,107","3,983,367","1,986,244","1,997,123","3,870,893","1,925,676","1,945,217","3,994,423","1,985,267","2,009,156"
,,,,,,,,,,,,,,,,,,,"3,913,779","1,938,061","1,975,718","3,858,785","1,916,197","1,942,588","3,987,834","1,987,407","2,000,427","3,875,738","1,927,055","1,948,683"
,,,,,,,,,,,,,,,,,,,"4,091,708","2,028,936","2,062,772","3,917,161","1,938,713","1,978,448","3,861,852","1,916,498","1,945,354","3,990,700","1,987,507","2,003,193"
,,,,,,,,,,,,,,,,,,,"4,327,303","2,144,601","2,182,702","4,093,397","2,028,719","2,064,678","3,918,537","1,938,208","1,980,329","3,863,455","1,916,102","1,947,353"
,,,,,,,,,,,,,,,,,,,"4,383,470","2,181,105","2,202,365","4,327,295","2,143,475","2,183,820","4,093,328","2,027,424","2,065,904","3,919,057","1,937,184","1,981,873"
,,,,,,,,,,,,,,,,,,,"4,155,383","2,063,514","2,091,869","4,381,059","2,178,400","2,202,659","4,324,551","2,140,344","2,184,207","4,091,579","2,025,025","2,066,554"
,,,,,,,,,,,,,,,,,,,"4,070,035","2,018,879","2,051,156","4,151,692","2,060,018","2,091,674","4,376,488","2,174,282","2,202,206","4,320,583","2,136,737","2,183,846"
,,,,,,,,,,,,,,,,,,,"4,076,200","2,015,874","2,060,326","4,065,383","2,014,948","2,050,435","4,146,627","2,055,816","2,090,811","4,370,964","2,169,762","2,201,202"
,,,,,,,,,,,,,,,,,,,"4,153,395","2,055,000","2,098,395","4,069,724","2,010,994","2,058,730","4,058,776","2,009,855","2,048,921","4,140,010","2,050,739","2,089,271"
,,,,,,,,,,,,,,,,,,,"4,404,466","2,176,992","2,227,474","4,144,843","2,048,844","2,095,999","4,061,192","2,004,734","2,056,458","4,050,722","2,003,912","2,046,810"
,,,,,,,,,,,,,,,,,,,"4,486,472","2,208,500","2,277,972","4,392,884","2,169,038","2,223,846","4,133,931","2,041,063","2,092,868","4,051,078","1,997,485","2,053,593"
,,,,,,,,,,,,,,,,,,,"4,483,424","2,202,299","2,281,125","4,472,068","2,198,785","2,273,283","4,378,704","2,159,311","2,219,393","4,121,394","2,032,379","2,089,015"
,,,,,,,,,,,,,,,,,,,"4,474,669","2,195,087","2,279,582","4,466,906","2,191,433","2,275,473","4,455,485","2,187,753","2,267,732","4,363,205","2,148,966","2,214,239"
,,,,,,,,,,,,,,,,,,,"4,530,188","2,216,653","2,313,535","4,456,110","2,182,886","2,273,224","4,448,135","2,179,004","2,269,131","4,437,426","2,175,762","2,261,664"
,,,,,,,,,,,,,,,,,,,"4,569,843","2,240,200","2,329,643","4,509,126","2,202,680","2,306,446","4,435,174","2,168,979","2,266,195","4,427,991","2,165,590","2,262,401"
